text,label
Layan live chat lambat verifikasi subsidi selalu gagal. padahal id ktp belum cek sudah daftar subsidi,LAYANAN
Tidak bisa login. loading terus,APLIKASI
"Sangat susah untuk buka aplikasi ini padahal sudah di perbarui otomatis,jaringanya muter muter terus dan proses lama,tolong diperbaiki agar lebih mudah menggunakanya",APLIKASI
"Saldo bank sudah potong tapi status masih nunggu pembayaran, korup amat token 20 ribu doang",APLIKASI
"Saya sudah 3 kali lapor gangguan listrik yang saya alami lewat aplikasi ini, yaitu sering laku madam listrik di daerah saya tanpa pemberitahuan. telah dapat nomor komplain, saya pantau terus tindak lanjut tapi sayang sekali tidak di perbarui aneh telah tunggu kurang lebih 3 jam sampai listrik padam. tiba-tiba lapor saya status ubah jadi batal oleh konsumen. padahal tidak pernh saya laku",LAYANAN
Responnya lama banget,LAYANAN
Beberapa kali error tidak dapat scan barcode untuk charge mobil EV kemudian tiap chat hotline baik lewat app atau sambung whatsapp tidak beri solusi sama sekali,APLIKASI
Bikin pusing cara daftar nya masukin kode harus extra cepat,APLIKASI
"Buat pengaduan kendala listrik, pas mau cek pengaduan malah gaada, apps error heran.",APLIKASI
Layan kurang muas listrik padam dari jam 19 00 hingga 23 45 blom juga tangan kecewa padahal buat usaha sampai ngantuk ditungguin gk datang tugas gk ada respon,LAYANAN
"Layan kurang, respon kurang cepat. tolong pihak PLN mobile untuk depan diperbaiki lagi sistem layan nya.",LAYANAN
Tiap ada lapor undur undur,LAYANAN
"Payah slow respon, baru tau afa pengaduan yang bisa di cancel pihak",LAYANAN
"Layan buruk,,, lapor server penuh tidak tanggap pajak buat apa",APLIKASI
"Instal aplikasi,daftar,transakai lewar ini aplikasi eh ada madam tidak kasih info.mbok yao kalau ada madam kasih info lewat aplikasi ini biar ada siap",APLIKASI
Daftar email sudah masuk kan verkali kali tidak dapat kode verifikasi terlalu rumit,APLIKASI
"Begini aplikasi perintah tidak aplikasi tidak website, masa mau login atau daftar saja susah",APLIKASI
Gajelas sudah beberapa akun email tapi tetap tidak ada notifikasi verivikasi ke email. dan bilang sudah di kirim via email,APLIKASI
Aplikasi tidak ada fungsi login saja tidak bisa. tidak niat buat aplikasi PLN,APLIKASI
"Benar saya malas kasih rating,berhubung saya alami kendala yang panjang hanya karena masalah sepele tapi gk juga ada penyelesaian,yg balasin lapor saya juga robot jd gk selesai tu urusan,ribet jdny!",LAYANAN
PLN medan selatan mmg hancur cara kerja ini kali dua listrik kami naik tagih dengan alas rumah pagar smntara biasa 450 ribu tagihan saya... sekarang 680 an... say tidak terima ya... tolong normal kembali tagihan saya... rumah rievera blok m no 86 bangun mulia amplas...,LAYANAN
"Buat ngecharge mobil di SPKLU terlalu sering error,nyantol di pembayaran terus gagal,eror no healthy upstream,can not connect upstream padahal fatal banget untung bawa portable,ngecharge di SPLU demi sambung hidup alhamdulillah nyampe rumah sisa 8,ac off, audio off, fan off, speed max 40 km/j 3 SPKLU error sama",APLIKASI
Aplikasi gagal tidak bisa sambung ke pembayaran,APLIKASI
Aplikasi lucu... masak lapor padam bisa batal tetapi alas batal oleh langgan padahal saya tidak pernah klik batal itu nama curang...,LAYANAN
"Lambat parah, buka history data ilang, super-super not recomended, mending beli di e-commerce, sama-sama kena admin tapi g lambat jijik kek ni aplikasi",UMUM
"Tidak bisa exit aplikasi lalu back button, harus guna home button",UMUM
Aceh padam,LAYANAN
"Error terus, nyata kelas PLN tidak bisa buat aplikasi ya",UMUM
"Tidak guna ngalami gangguan listrik jam 5 sore masih padam sendiri sementara rumah lain sudah pada nyala, sudah buat lapor lewat app ini cuman tanggap yang kata max 3 jam tangan nyata sampe pagi tidak ada tangan telp 123 juga hasil sama tidak ada tindak akhir jam 9 pagi ke kantor PLN tempat baru layan satpam yang jaga. dan yang bikin greget nyata tidak perlu ada tugas yang datang ke rumah listrik bisa nyala kalau seperti itu kenapa tidak segera tangan",LAYANAN
Nyesal,UMUM
Tarik saldo koq lama banget sekitar 5 hari. kaya jaman kuda gigit besi,APLIKASI
Mau lapor sampai di pilihn desa muat ulang terus aplikasi sampah,APLIKASI
Sering madam listrik di daerah jogja. tangan lama,LAYANAN
Kenapa metode beli token tidak ada pilih QRIS,APLIKASI
Charge di SPKLU putus sisa dana malah belum balik,APLIKASI
Gonta ganti sinyal mau masuk ke menu timeout terus,UMUM
Jelak aplikasi nya,UMUM
"Percuma ada aplikasi, kalau ujung²nya tetep suruh datang ke kantor... masih banyak oknum yang.?",UMUM
Kurang puas telah ada sistem verifikasi unit tempat masak mau minta ganti layan ke paska bayar suruh tambah daya,APLIKASI
Sayang tidak ada kanopinya.jadi kalau hujan tidak bisa di pakai.ruang tunggu juga tidak ad.tp satpam baik,UMUM
Nang lama,LAYANAN
Set mau bayar saja lama minta ampun... utama bisa pakai qiris... baya pakai dana harus masuk aktivitas dana dulu rumit mana keluar sendiri lagi kacauu...,APLIKASI
Susah masuk,APLIKASI
"Fitur chat putus-putus, fitur lacak tugas juga tidak fungsi...",UMUM
"Parumasan sodonghilir mati terus lampu hampir tiap malam,sekali mati satu hari tidak nyala nyala, lapor ke dekat kurang respon,iya.iya.iya di cek,hasill nihil,",LAYANAN
"Aplikasi PLN mobile bagus, untuk proses pasang KWH meter cepat dan saking cepat tugas lapang asal-asal pasang tanpa konfirmasi ke milik rumah mana yang harus 1300 dan 900. kemudian saya minta pindah kabel agar lebih tinggi karena tempel di atap rumah tetangga dan jawab itu salah awal pasang dari tugas awal dan tidak bisa diperbaiki dan yang lebih kejut lagi jawab dari tugas pasang dia takut jatuh karena tidak ada asuransi, apa benar seperti itu ya?",LAYANAN
"Lapor pju mati di tiang listrik PLN tidak bisa lapor listrik mati meter mcb ledak tidak bisa cuma di telpon di tanya habis itu bilang itu bukan tanggung jawab atau wenang kami, tidak guna aplikasi ini, layan fake",LAYANAN
Tidak bisa daftar,APLIKASI
"Maaf kasih bintang cuma 2 karena KWH meter selalu tunjuk kata periksa. tiap minggu sekali selalu seperti itu, pegawai memang kasih token tapi kadang besok tunjuk periksa lagi. sudah lapor kata ada masalah instalasi dan nyuruh saya minta tolong tetangga keluarga yang paham instalasi. meski ada yang bisa dan kalau ada rusa lagi yang ada pihak kami yang salah lalu apa guna nya pegawai PLN",LAYANAN
"Aplikasi tolol, bikin lapor tidak pernah ada yang dateng.",LAYANAN
PLN mobile sangat buruk,UMUM
Nelfon sama call center nya tele tele sampe pulsa habis kali kali,LAYANAN
Beli paket data aon 4 gb tidak masuk. parah. tidak di refund. moga balas allah swt.,APLIKASI
Tugas datang nya lama sampai 1 jam alas nya masih di jalan tapi waktu di telpon belum berangkat kecewa sekali saya sama layan PLN balikpapan,LAYANAN
Lapor PLN down tidak gubris malah adu selesai tapi lokasi listrik masih down.,LAYANAN
"Tukang listrik PLN kalau naik-naik atap rumah orang tengah malam minta izin dulu sama milik rumah tidak punya sopan santun! minta maaf pun tidak hingga selesai pergi begitu saja. kalau ada rusa rumah seperti bocor saat hujan, siapa yang mau tanggung jawab?!",LAYANAN
"Fungsi cek madam sekitar, lokasi slalu meleset jauh dari loasi kipadahal kalau di cek di layan sya lokasi sesuai.",APLIKASI
Faham kan?,UMUM
Tolong sampai kan masalah internet tidak becus bayar tgl 12 bulan kemarin mati dari tgl 8 tidak nyala juga,LAYANAN
Habis buat lapor gangguan terus masuk telpon scam modus tugas PLN tapi pakai nomor pribadi. minta nomor lapor tapi yang kirim kode OTP wa. tanya tugas darimana dia tau detail lapor alamat dan nama lapor nyata ada yang alam dengan saya. tolong benah internal bobrok banget kok bisa data langgan bocor! sudah kirim email pengaduan ke email PLN tapi jawab tidak hubung tidak mungkin orang luar tau data langgan tolong anggap serius masalah ini.,LAYANAN
"Kenapa pasang listrik di kota batam khusus nya di camat sei beduk lurah tanjung piayu sangat mahal untuk 10 a di patok harga rp. 3.500.0,- saya daftar lalu aplikasi kata desa/kelurahan tanjung piayu belum pilah unit, silah hubung PLN dekat - v 003 tolong di bantu pak/ibu yang hormat",APLIKASI
Status aplikasi bisa ganti batal langgan tapi bukan oleh langgan itu. aplikasi macam apa ini?,LAYANAN
Kacau,UMUM
"Push rank mati listrik, PLN anj marah",LAYANAN
"Halo min,,kenapa saya pakai aplikasi PLN mobile untuk lapor pengaduan tentang tali listrik di daerah desa selalu di batal pelanggan,,kata nya aplikasi PLN mobile bisa membantu,tpi kok tidak bisa?",LAYANAN
Respon time nya tolong di perbaiki. masa lapor jam 5 sore jam 7 sore belum dateng-dateng itu tugas PLN,LAYANAN
"Listrik mati, sudah lapor tapi detail alamat salah. sudah 4 hari tidak di progres.",LAYANAN
Mohon info dulu belum KWH nya ganti oleh PLN 1300 watt di rumah masih bis adi pqke buat ngelas mma sekarang telah ganti kok malah tidak bisa di pake... mohon solusi nya,LAYANAN
Tidak solutip,LAYANAN
Lambat dalam penanganan.bikin kesal,LAYANAN
"Pengaduan malah di batalin tidak ada respon, tak guna",LAYANAN
"Layan sangat lama lapor dengan aplikasi, whatsapp dan nomor telepon juga lamban. sudah jawab masi tanya melulu. kami butuh tangan khusus malah sepele dan bodoh apa fungsi kita bayar pajak kalau layan bodoh dan jengkel seperti ini",LAYANAN
Jelek,UMUM
"Tolong aplikasi nya di perbaiki, masuk ke pembayaran aplikasi loading terus buang waktu",APLIKASI
"Kelas layan live chat lambat loading dan nge lag, nunggu 1 - 2 menit tiap tulis chat. selalu keluar tulis customer seems to be disconnected from chat. aneh, kita online terus bilang disconnected. dia yang ilang-ilang kita nunggu respon kayak nunggu undi umrah",APLIKASI
"Aplikasi apa ini, sudah beli token tapi tidak mau kasi liat tokennya",APLIKASI
"Kirim tokennya lama, lebih cepat pake aplikasi lain pihak tiga",APLIKASI
"Busuk. beli token tidak keluar keluar nomor uang di bank sudah tarik tapi nomor token belum keluar. ngelakuin pengaduan malah bertele-tele, tidak kelar-kelar urus",APLIKASI
"Tegang listrik di tempat saya cuma 170 volt, sampai sekarang tidak ada solusi dari PLN masa kita yang suruh pasang tiang, mana itu pikir nya orang pln...kacau",LAYANAN
Sudah beli token 500 ribu. pakai fotur transfet cimb. sudah di transfet 500.114 gada ubah pas chat agen live bilang gada data kalau saya beli. helo. ini beneran aplikasi PLN mobile bukan ya rugi gua beli. mending beli di bank sekali mahal dikit gapapa yang penting tidak repot kaya sini gada mau kembali uang juga. kalau memang aplikasi belum sepenuh jadi. tidak usah di tambahin fitur fitur begini sudah bner ini cuma buat pengaduan doang tidak usah pake ada fitur beli,APLIKASI
Lambat...pengaduan pake telepon dulu ke costumer.bukannya sudah jelas ada alamat nya.ya kalau saya pas lagi pegang hp... kalau lagi jalan,LAYANAN
Tagihan saya ledak padahal rumah saya kosong sudah 3 bulan saya sudah konfirmasi ke PLN tanjung morawa tapi tidak ada jelas sampai hari ini di telpon sudah tidak mau angkat bingung harus bagaimana,LAYANAN
"Aplikasi sangat bantu cuma tolong bagi developer buatin agar bisa ganti email saya mau ubah email gk bisa, yang bisa cuma ubah nomor hp. tolong ya developer perbaiki fiturnya",APLIKASI
"Sedikit cerita, KWH meter saya muncul tanda periksa, telah di cek tugas nyata KWH meter sudah rusak terus listrik langsung tnp lewat KWH meter per tgl 11-1-2026 kemudian tgl 5-2-2026 KWH meter baru pasang pakai bulan biasa 150 rb buat beli token masih sisa hal ini periode tgl 11-2-2026 sampai 5-2-2026 belum genap 1 bulan sama PLN suruh bayar 205 rb! padahal pakai juga biasa saja",LAYANAN
Layan sangat lambat. nang juga lambat. nang belum selesai tapi notifikasi aplikasi minta selesai,LAYANAN
Lampu sering padam,LAYANAN
"Kecewa tangan lambat, fitur pengaduan kurang responsif sering error",LAYANAN
"Penangannan lambat,sdh lapor 2 x perihal putus alir listrik,sampai sekarang belum ada tugas yang dtng,lewat live chat maupun CC 123,kalau langgan telat bayar saja cepat mutusnya kalau sudah bayar slowres,payah",LAYANAN
"Aplikasi banyak manipulasi, pengaduan kali kali tidak ada tanggap aplikasi sama call 123 sama saja service pengaduan nya, apalagi tugas",LAYANAN
Bagaimana cerita tiap hari bisa rugi.,UMUM
Slow respon tugas,LAYANAN
"Untuk pihak teknisi di daerah saya kerja kurang,dan lapor selalu di tolak,mohon untuh evaluasi kerja PLN nya,kalo ada teknisi kurang profesional harus di tindak lanjut",LAYANAN
Layan sangat buruk hari malam mati lampu.percuma ada aplikasi PLN mobile pengaduan... bayar telat di denda mati lampu puluh jam di biar,LAYANAN
Layan buruk,LAYANAN
Gk bisa masuk,APLIKASI
Error tidak jelas,UMUM
"Kode verifikasi email tidak muncul-muncul, pengaduan lewat wa tidak atas masalah meter bunyi",APLIKASI
Respon lama ingin minta kode lama,APLIKASI
Tegang naik turu di rumah saya dan saat tetangga nyala blender rumah saya kena dan kabel listrik saya sudah saya ganti dari dulu yang bagus dan manggil PLN pun tidak guna mana orang cuek banget anjerr truss saya harus minta tolong siapa,LAYANAN
Cs nya di chat tidak solutif... tidak bisa kasih jelas yang jelas.,APLIKASI
"Dartar saja tidak bisa, itu kode OTP ke email cuma gimmick kah",APLIKASI
Komplain tidak atas hanya jawaban/respon yang tidak guna,LAYANAN
"Nyoba beli paket internet diapk ini, tau gagal, dana direfund tapi tidak semua, adm tidak kembali dana refund masuk ke saldo PLN dana tidak bisa tarik ke rekening karena kata minimal buat narik ke rek. kurang mesti min 25 rb, di coba buat beli pulsa atau paket internet saja nyata tidak bisa, pas mau co pilih pembayaran gk ada opsi pake saldo PLN di coba beli token listrik saja juga sama gk bisa, pas co gk ada opsi pake saldo PLN mau nyoba isi saldo PLN biar bisa tarik gk bisa juga.",APLIKASI
PLN mobile kok tidak ada pilih login dengan google jugak tidak ada pilih daftar guna email kok cuman nomor hp doang.? kurang bagus ini tidak ada pilih login dengan google atau daftar guna email.!,APLIKASI
Layan aplikasi PLN mobile sekarang buruk... daftar tambah daya untuk tarif bisnis dan sosial terlalu lama untuk nunggu verifikasi nya... saya daftar untuk area PLN cikokol... sudah 4 hari tidak ada jelas pegawai nya kerja nya apa ya... masa verifikasi tambah daya saja harus nunggu lama...,APLIKASI
"Layan PLN mobile brengsek mau hapus akun tidak bisa mau hapus id langgan tidak bisa pake registrasi ke ktp segala mau ubah nama id langgan tidak bisa, layan macam apa ini kok sulit brengsek! mengapa pake harus virefikasi ke ktp segala orang cuman buat ngecek ngecek doang saya buat akun PLN mobile ini lihat lihat doang ngecek tagihan kok sulit kayak gini layan brengsek orang PLN ini kurangajar. marah marah marah",APLIKASI
"OTP allo wallet sampe tidur tidak dateng-dateng juga. kalau sekira belum final aplikasi nya, mending tidak usah ada menu pembayaran via allo wallet",APLIKASI
Bagaimana ya kok sudah sampir minggu belum di pasang listrik saya,LAYANAN
"Sayang layan lambat sudah lapor listrik masalah tegang drop dari jam 1 ini sampai jam 5 juga belum datang tugas call center 123 tidak bisa d telp, dan tidak bisa chat tugas",LAYANAN
"Saya buat lapor listrik padam di aplikasi PLN mobile, tetapi batal otomatis oleh sistem padahal listrik belum nyala waktu dan tanggal juga tidak relevan, lapor tgl 11/02/2026 jam 14.38 wib tapi tindak buat jam 14.01 kan tidak sesuai. listrik sering padam, 1 minggu bisa 2 atau 3 kali tanpa pemberitahuan. layan cs online juga buruk, cs hanya dar basa basi baik akan kami tindak lanjut tapi lapor batal otomatis. kecewa",LAYANAN
Pengaduan di aplikasi sering batal otomatis. buruk.,LAYANAN
"Tangan sangat lambat, lapor jam 16.34 wib sampe jam 18.20 wib belum juga tangan",LAYANAN
Listrik sering padam tanpa sebab. bayar mahal dan kalau telat denda. tapi sering padam tanpa sebab,LAYANAN
"𝚔𝚘𝚔 𝚗𝚐𝚊𝚔 𝚋𝚒𝚜𝚊 𝚍𝚊𝚏𝚝𝚊𝚛...𝚙𝚊𝚜 𝚖𝚊𝚜𝚞𝚔𝚊𝚗 𝚎𝚖𝚊𝚒𝚕 𝚗𝚐𝚊𝚔 𝚋𝚒𝚜𝚊 𝚋𝚒𝚜𝚊,𝚝𝚘𝚕𝚘𝚗𝚐 𝚍𝚘𝚗𝚐 𝚙𝚕𝚗",APLIKASI
Telah lapor tidak ada pegawai PLN yang datang untuk perbaiki saat lapor lewat PLN mobile jaring sangat lambat. padahal sudah guna wifi/data pun tetap lambat,LAYANAN
"Aplikasi sangat buruk, tidak bisa perbarui nomer id meter",APLIKASI
Listrik tidak stabil,LAYANAN
Tidak pernah ubah harus 3 kali pangaduan atau harus marah dulu ke kantor plnnya baru datang? percuma aplikasi hapus saja jangan pernah suruh tugas kalian ngemis datang minta kasih bintang 5 ya...perbaiki aplikasi nya bukan tugas suruh ngemis,LAYANAN
"Aplikasi tak jelas, sudah minggu lumpuh total, bagus di uninstal saja",UMUM
Layan belit beli,LAYANAN
Percuma download mas mbak karena tugas lambat kecuali kenal karyawan plnya langsung sat set,LAYANAN
Slow respon dalam tangan,LAYANAN
Perbaiki lagi aplikasi buka atau mau beli token muter muter.,APLIKASI
